Author,Date,Region,Sentence,translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","That war, well fought, achieved its purpose. On the other hand, Aiaces was a skilled French knight, renowned for his prowess, but he lacked great wisdom."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudelmente, e per tutti i suoi errori, il re reclama vendetta come la legge lo prevede, e a nessuno dei cavalieri che hanno peccato viene concesso perdono."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non ci fu alcuna altra forza che non fosse onata da Ponzio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo ti piace a tutti e se il tempo ha bisogno di avere Pompeiano come compagno e non come cavaliere, non ripeterò più i fatti."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il senso di questa arte pare che sia solo per far credere, finalità è far credere per dirlo."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ogni tanto nuvole e vapore si accumulano e le risolute nuvole cadono al mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ogni persona che non crede ancora in Cristo ha già visto come persone intelligensi e dignitarie hanno agito senza di lui, e perché non possono negare la loro intelligenza, gridano di essere ignoranti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,The immense grief of death and the pressure of life made the king ferocious.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché chiunque, ora che per la sua grande dignità è ferozmente onoroso, è perseguitato da ogni male e tormentato dalla disria del padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso restano immobile nella bugia incontra la verità.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.",Marco Cornelio aveva dieci compagni. Si riserva di parlare all'ultimo.
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Ogni cosa di cui ero sicuro che fosse stata fatto in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,The raven is the nephew of Ortensio and spent his life lower and more wicked.
